nome,struttura,indirizzo,telefono,fax,referente,accesso,orario/lunedì/0,orario/lunedì/1,orario/martedì/0,orario/martedì/1,orario/mercoledì/0,orario/mercoledì/1,orario/giovedì/0,orario/giovedì/1,orario/venerdì/0,orario/venerdì/1,verificato/nome,verificato/link,last_updated,orario/mercoledì/2,orario/mercoledì/3,orario/lunedì/2,orario/lunedì/3,orario/martedì/2,orario/martedì/3,orario/giovedì/2,orario/giovedì/3,orario/venerdì/2,orario/venerdì/3,orario/giovedì/4,orario/sabato/0,orario/sabato/1,orario/lunedì/4,orario/martedì/4,orario/mercoledì/4,orario/venerdì/4,orario/sabato/2
AZIENDA OSPEDALIERA SAN CARLO, Ambulatorio di Dermatologia ,"Via Potito Petrone, 1 Potenza - PZ ", 0971613511 , 0971613159 , Piccirillo Angelo , ,09:00,13:00,09:00,13:00,09:00,13:00,09:00,13:00,09:00,13:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 08/01/2020 ,,,,,,,,,,,,,,,,,,
ASP CATANZARO UO DERMATOLOGIA e MST - OSPEDALE GIOVANNI PAOLO II, Ambulatorio - Edificio Piastra - Piano terra ,Via Senatore Arturo Perugini Lamezia Terme - CZ , 0968208829 ,, Larussa Filippo Mariaa , ,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 14/09/2017 ,16:00,17:00,,,,,,,,,,,,,,,,
OSPEDALE MARIANO SANTO - A.O. DI COSENZA - U.O.C. DI DERMATOLOGIA, Ambulatorio di Dermatologia Contrada Muoio Piccolo Cosenza - CS ,, 0984681789 , 0984681782 , eugenio provenzano , ,09:00,13:00,09:00,13:00,09:30,13:00,09:30,19:00,09:30,13:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 09/12/2019 ,16:30,19:00,16:00,19:00,16:30,19:00,16:30,19:00,16:30,19:00,,,,,,,,
AZIENDA OSPEDALIERA UNIVERSITARIA FEDERICO II, Dermatologia Dipartimento di Medicina Clinica e Chirurgia - Edificio 10 ,Via Sergio Pansini 5 Napoli - NA , 0817462450 ,, Martellotta Donata , ,,,15:00,18:00,,,09:00,13:00,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 16/11/2020 ,,,,,,,,,,,,,,,,,,
OSPEDALE SAN GENNARO DEI POVERI, U.O. di Dermatologia ,Piazza San Gennaro dei Poveri Napoli - NA , 0812545199 , 0812545199 , Mozzillo Raffaele , ,,,,,,,09:00,11:00,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 17/11/2020 ,,,,,,,previa prenotazione CUP,,,,,,,,,,,
CENTRO MTS - DERMATOLOGIA - POLICLINICO UNIVERSITARIO S. ORSOLA MALPIGHI, Clinica Dermatologica - Ambulatorio IST - Padiglione 29 ,"Via Massarenti, 1 Bologna - BO ",,, GASPARI VALERIA , ,07:45,11:00,07:45,11:00,07:45,11:00,07:45,11:00,07:45,11:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 11/02/2020 ,dalle 7.45 - idem,,dalle 7.45 fino a smaltimento dei pz accettati entro le 11.00,,dalle 7.45- idem,,dalle 7.45 - idem,,dalle 7.45 - idem,,,,,,,,,
"UO di Ostetricia e Medicina dell'Età Prenatale, Policlinico Sant'Orsola Malpighi", Ambulatorio ,Via Massarenti 13 Bologna - BO ,, 0516363710 ,, ,,,09:00,14:00,,,09:00,14:00,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 09/12/2020 ,,,,,"prelievi, consulenze , ecografie",,prelievi,,,,,,,,,,,
AZIENDA OSPEDALIERA Univ. Ferrara- Clinica Dermatologica," U.O. di Dermatologia, amb. 9 ","Via ALDO MORO, 8 Ferrara - FE ", 0532.236244 ,,, ,08:30,12:00,08:30,12:00,08:30,12:00,08:30,12:00,08:30,12:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 21/11/2017 ,Su prenotazione e accesso diretto,,Su prenotazione e accesso diretto,,Su prenotazione e accesso diretto,,Su prenotazione e accesso diretto,,Su prenotazione e accesso diretto,,,,,,,,,
Azienda USL Romagna Ospedale Bufalini Servizio Malattie Infettive, Ambulatorio Infettivologico ,Viale Ghirotti 286 Cesena - FC , 0547352705 ,, Dott.ssa Carmela Grosso , ,07:30,13:00,07:30,13:00,07:30,13:00,07:30,13:00,07:30,13:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 09/12/2019 ,,,,,,,,,,,,,,,,,,
OSPEDALE G.B. MORGAGNI - AUSL ROMAGNA, Ambulatorio MTS - Padiglione Morgani piano terra ,Via Forlanini 34 Forlì - FC , 0543735021 ,, Parente Gianluca , ,07:30,08:00,07:30,08:00,07:30,08:00,07:30,08:00,07:30,08:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 30/01/2020 ,18:00,19:00,18:00,19:00,18:00,19:00,18:00,19:00,18:00,19:00,,,,,,,,
Università di Modena e Reggio Emilia- Clinica Dermatologica, Ambulatorio MST ,Via del Pozzo 71 Modena - MO , 0594222673 ,,, ,08:00,10:00,08:00,10:00,08:00,10:00,08:00,10:00,08:00,10:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 06/03/2020 ,,,,,,,,,,,,,,,,,,
UO Aziendale di Dermatologia Faenza Ravenna e Lugo, SI ambulatorio MTS ,"Viale Stradone, 9 Faenza - RA ", 0546601040 , 0564601652 , albano vincenzo , ,12:00,13:00,,,,,12:00,13:00,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 24/10/2017 ,,,Su prenotazione,,,,Su prenotazione,,,,,,,,,,,
OSPEDALE SANTA MARIA DELLE CROCI, Ambulatorio Servizi di Dermatologia - Ambulatorio MTS ,"Viale Vincenzo Randi, 5 Ravenna - RA ", 05440286201 ,, Valenti Lorenzo , ,,,08:00,09:30,,,08:30,09:30,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 08/08/2017 ,,,,,,,,,,,,,,,,,,
CENTRO MTS/AIDS PROVINCIALE ASS2 ISONTINA, Distretto Alto Isontino ,"Via V. Veneto, 169 Gorizia - GO ", 0481592819 ,,, ,08:00,14:00,08:00,14:00,08:00,14:00,08:00,14:00,08:00,14:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 04/03/2014 ,,,,,,,,,,,,,,,,,,
Azienda Sanitaria Universitaria Integrata di Udine, Ambulatorio ,"Via Chiusaforte, 2 Udine - UD ", 0432553266-68 , 0432553998 , Daniela Gnesutta , ,08:30,12:30,08:30,12:30,08:30,13:00,08:30,12:30,08:30,12:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 20/07/2017 ,visite mediche/infettivologiche solo su appuntamento,,test di screening solo su appuntamento counselling con accesso libero,,tst di screening solo su appuntamento counselling con accesso libero,,14:00,17:00,st di screening solo su appuntamento counselling con accesso libero,,st di screening solo su appuntamento counselling con accesso libero,,,,,,,
OSPEDALE DERMOPATICO DELL'IMMACOLATA, Ambulatorio di Dermatologia ,"Via Monti di Creta, 104 Roma - RM ", 0666464355 ,,, ,07:30,11:30,07:30,11:30,07:30,11:30,07:30,11:30,07:30,11:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 21/11/2013 ,,,,,,,,,,,,07:30,11:30,,,,,
U.O.S. II° LIVELLO MALATTIE INFETTIVE, Ambulatorio ,"Viale dei Romagnoli, 781 Roma - RM ", 0656483014 ,,,,,,,,,,,,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx,Dati aggiornati al 28/11/2014 ,,,,,,,,,,,,,,,,,,
"UOSD DERMATOLOGIA, MST, TROPICALE E IMMIGRAZIONE ISTITUTO DERMATOLOGICO S.GALLICANO (IRCCS)", CENTRO MST/HIV ,"Via Elio Chianesi, 53 Roma - RM ", 0652662807 , 0652662804 ," Antonio CRISTAUDO, Alessandra LATINI ", ,08:00,10:30,08:00,10:30,08:00,10:30,08:00,10:30,08:00,10:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 03/12/2019 ,,,,,,,,,,,,,,,,,,
Poliambulatorio RM 4, Poliambulatorio ,Via Valdambrini 115 Santa Marinella - RM , 0696669814 ,,, ,,,07:30,09:30,,,07:30,09:30,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 14/10/2020 ,,,,,,,,,,,,,,,,,,
AZIENDA OSPEDALIERA Universitaria S. Martino UO dermat. Sociale," Ambulatorio Largo Benzi, 10 Genova - GE ",, 010/5555753 , 010/5556509 , Ciccarese Giulia , ,08:30,12:30,08:30,12:30,08:30,12:30,08:30,12:30,08:30,12:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 30/11/2020 ,,,,,,,,,,,,,,,,,,
ENTE OSPEDALIERO OSPEDALE GALLIERA, Centro MST - Div. Dermatologia ,"Via delle Mura Cappuccine, 14 Genova - GE ", 0105634271 ,, Dott. Priano Luigi , ,08:00,13:15,08:00,13:15,08:00,13:15,08:00,13:15,08:00,13:15,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 04/11/2020 ,su appuntamento CUP,,su appuntamento CUP,,su appuntamento CUP,,su appuntamento CUP,,su appuntamento CUP,,,,,,,,,
Azienda Ospedaliera Spedali Civili di Brescia, Centro MTS ,"Piazzale Spedali Civili, 1 Brescia - BS ", 030 399 6610 , 030 399 6084 ,, ,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 14/10/2020 ,,,,,,,,,,,,,,,,,,
AZIENDA SPEDALI CIVILI DI BRESCIA -DIVISIONE DI DERMATOLOGIA, Ambulatorio - reparto Satellite ovest - 5° Piano - Scala 11 ,"Piazzale Spedali Civili, 1 Brescia - BS ", 0303995301 , 0303995017 , Iannazzi Stefano , ,,,,,09:00,12:00,09:00,12:00,12:00,14:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 17/11/2020 ,,,,,,,,,,,,,,,,,,
Struttura Semplice MEDICINA TRASCULTURALE E MTS, Ambulatorio MTS ,Viale del Piave 40 Brescia - BS , 030-3333456 ,, El Hamad Issa , ,08:30,12:00,13:30,16:00,08:30,12:00,13:30,16:00,08:30,10:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 22/01/2020 ,,,,,16:30,19:00,,,,,,,,,,,,
ASST Lariana Como, U.O. di Dermatologia - Centro IST - V° Piano ,"Via Napoleona, 60 Como - CO ", 0315855385 , 0315855781 , Locatelli Amelia , ,08:00,13:00,08:00,09:00,08:00,13:00,08:00,13:00,08:00,09:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 04/11/2020 ,urgenze + prelievi+visite,,urgenze+visite,,urgenze,,urgenze+visite,,urgenze,,,,,,,,,
POLO DISTRETTUALE, Ambulatorio MTS presso Ospedale Salvini ,"Viale Forlanini, 121 Garbagnate Milanese - MI ", 02994302882 ,,, ,08:30,13:00,08:30,13:00,08:30,13:00,08:30,13:00,08:30,13:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 11/03/2014 ,14:00,16:00,14:00,16:00,14:00,16:00,14:00,16:00,14:00,16:00,Su prenotazione,,,Su prenotazione,Su prenotazione,Su prenotazione,Su prenotazione,
POLO DISTRETTUALE - CENTRO MTS, Ambulatorio MTS ,"Via Savonarola, 3 Legnano - MI ", 0331925638 ,,, ,09:00,09:30,09:00,09:30,09:00,09:30,09:00,09:30,09:00,09:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 11/03/2014 ,Su prenotazione,,Su prenotazione,,Su prenotazione,,Su prenotazione,,Su prenotazione,,,,,,,,,
Ambulatorio MTS - ATS della Città Metropolitana di Milano, Polo Periferico - Diagnostico ,Via al Donatore di Sangue 50 (c/o Ospedale) Magenta - MI , 0297973409 ,,, ,Su prenotazione,,Su prenotazione,,Su prenotazione,,Su prenotazione,,Su prenotazione,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 23/11/2016 ,,,,,,,,,,,,,,,,,,
Centro Riferimento HIV/MTS - ATS della Città Metropolitana di Milano, Ambulatorio MTS ,Viale Jenner 44 Milano - MI , 02.85789871 , 02.85789884 ,,"Solo tramite appuntamento. Per prenotare telefonare allo 02.85789871, dalle ore 10.00 alle 12.00 e dalle ore 13.30 alle 15.30, dal lunedì al venerdì.",08:15,15:30,08:15,15:30,08:15,15:30,08:15,15:30,08:15,15:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 14/10/2020 ,,,,,,,,,,,,,,,,,,
FONDAZIONE IRCCS CA' GRANDA OSPEDALE MAGGIORE, UO di Dermatologia - Ambulatorio MTS ,"Via Pace, 9 Milano - MI ", 02 55035226 ,, Ramoni Stefano , ,08:00,12:30,08:00,12:30,08:00,12:30,08:00,12:30,08:00,12:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 29/06/2017 ,,,,,,,,,,,,,,,,,,
Ambulatorio MTS - ATS della Città Metropolitana di Milano," MTS, Ambulatorio Malattie Infettive ",Via Cadorna 32 Rho - MI , 02932084218 ,,, ,09:00,12:30,09:00,12:30,09:00,12:30,09:00,12:30,09:00,12:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 23/11/2016 ,Su Prenotazione,,Su Prenotazione,,Su Prenotazione,,Su Prenotazione,,Su Prenotazione,,,,,,,,,
Ambulatorio MTS - ATS della Città Metropolitana di Milano, Ambulatorio MTS ,Via Magnolie snc Rozzano - MI , 800822168 , 02/92654804 , FORMENTI CLAUDIA , ,,,,,,,09:00,11:30,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 18/03/2019 ,,,,,,,su appuntamento telefonando al n. 800822168,,,,,,,,,,,
//// ASST Monza San Gerardo, Ambulatorio ,Via Pergolesi 33 Monza - MB , 0392339591 ,,, ,07:30,12:00,07:30,12:00,07:30,12:00,07:30,12:00,07:30,12:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 07/02/2018 ,,,,,,,,,,,,,,,,,,
PRESIDIO OSPEDALE DI SONDRIO, Dermatologia - Ambulatorio Divisionale ,Via Stelvio 25 Sondrio - SO , 0342521329 ,, Dott. Luigi Pizzini , ,08:20,11:40,08:20,11:40,08:20,11:40,08:20,11:40,09:40,11:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 18/02/2019 ,,,,,,,,,,,,,,,,,,
ASL BI REGIONE PIEMONTE - OSPEDALE DEGLI INFERMI - SSD DERMATOLOGIA, Centro MTS ,"Via dei Ponderanesi, 2 Ponderano - BI ", 01515154701 ,, DODARO LUCIO , ,08:00,09:00,08:00,09:00,08:00,09:00,08:00,09:00,08:00,09:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 23/11/2020 ,,,,,,,,,14:00,16:00,,,,,,,,
AO SANTA CROCE E CARLE - PRESIDIO CARLE, Ambulatorio presso Dermatologia pianTERRENO ,"Via Antonio Carle, 5 Cuneo - CN ", 0171616886 ,, Dott. Bertero Michele , ,08:30,10:30,08:30,10:30,08:30,10:30,08:30,10:30,08:30,10:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 14/10/2020 ,,,,,,,,,,,,,,,,,,
AZIENDA OSPEDALIERO-UNIVERSITARIA MAGGIORE DELLA CARITA'," Ambulatori Dermatologici - Pad. G - Piano seminterrato - Portineria Centrale Corso Mazzini, 18 Novara - NO ",,,,, ,,,10:30,11:00,,,10:30,11:00,13:00,13:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 27/03/2014 ,,,,,,,,,,,,,,,,,,
OSPEDALE CHIVASSO," Laboratorio analisi ( Dati inseriti aggiornati al 3 maggio 2017) Corso Galileo Ferraris, 3 Chivasso - TO ",, 0119176435 ,,, ,09:00,11:00,09:00,11:00,09:00,11:00,09:00,11:00,09:00,11:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 07/07/2017 ,,,,,,,,,,,,,,,,,,
OSPEDALE DI CUORGNE' ASL TO4, Laboratorio analisi ,"Piazza Musatti, 5 Cuorgnè - TO ", 0124654278 , 0124654280 , Nicolò Zammataro , ,07:30,09:00,07:30,09:00,07:30,09:00,07:30,09:00,07:30,09:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 26/10/2020 ,,,,,,,,,,,,,,,,,,
AZIENDA OSPEDALIERA CITTA' DELLA SALUTE E DELLA SCIENZA - OSPEDALE DERMATOLOGICO S.LAZZARO, Centro Dermatologia Genitale e per le IST ,"Via Cherasco, 21-23 Torino - TO ", 011/6335884 , 011/6335800 ,, ,08:00,13:00,08:00,13:00,08:00,13:00,08:00,13:00,08:00,13:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 26/02/2019 ,accesso diretto per 15 pazienti,,accesso diretto per 15 pazienti,,accesso diretto per 15 pazienti,,accesso diretto per 15 pazienti,,accesso diretto per 15 pazienti,,,,,,,,,
OSPEDALE S. ANNA - Malattie infettive in ostetricia e ginecologia.," Centro IST Corso Spezia, 60 Torino - TO ",, 0113134908 , 0113134527 ,, ,,,13:30,15:00,,,13:30,15:00,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 16/12/2020 ,,,,,Donne prenotate + Accesso diretto,,Donne prenotate + Accesso diretto,,,,,,,,,,,
ASL VC - OSPEDALE S. ANDREA - S.O.C. MALATTIE INFETTIVE," Ambulatorio MTS Percorso B - II° piano Corso M. Abbiate, 21 Vercelli - VC ",, 0161593516 ,, Dott.ssa Maria Esposito , ,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 29/05/2019 ,,,,,,,,,,,,,,,,,,
Poliambulatorio Cittadella della salute ASL, Ambulatorio IST ,P.zza Bottazzi 1 Lecce - LE , 0832 215956 ,,, ,08:30,10:30,,,08:30,10:30,,,08:30,10:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 15/10/2020 ,,,,,,,,,,,,,,,,,,
AZIENDA OSPEDALIERO UNIVERSITARIO OSPEDALE SAN GIOVNNI DI DIO, Clinica Dermatologica - Ambulatorio MTS ,"Via Ospedale, 54 Cagliari - CA ", 07051092180 , 07051092303 , SATTA ROBERTA , ,08:00,13:00,,,08:00,13:00,,,08:00,13:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 14/10/2020 ,,,,,,,,,,,,,,,,,,
Policlinico P. Giaccone- UOC di Dermatologia e MTS, Ambulatorio di MALATTIE SESSUALMENTE TRASMESSE ,Via Del Vespro 131 Palermo - PA , 0916554002 ,, PISTONE GIUSEPPE , ,,,,,15:00,16:00,,,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 15/10/2020 ,Su Prenotazione,,,,,,,,,,,,,,,,,
UNIVERSITA' DEGLI STUDI DI FIRENZE - OSPEDALE PIETRO PALAGI, Centro MTS - Clinica Dermatologica ,"Viale Michelangelo, 41 Firenze - FI ", 0556939654 ,, DottssaLuana Tiradritti , ,08:00,12:00,08:00,11:00,08:00,12:00,08:00,11:00,08:00,12:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 18/10/2017 ,,,,,,,,,,,,,,,,,,
USL 9 GROSSETO - OSPEDALE DELLA MISERICORDIA - U.O.C. MALATTIE INFETTIVE, Ambulatorio MTS ,Via Senese 131 Grosseto - GR , 0564485022 ,,, ,14:30,16:30,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 19/07/2017 ,,,,,,,,,,,,,,,,,,
Sp. Riun.Livorno- UO malattie Infettive, UO malattie infettive ,Viale Alfieri 36 Livorno - LI , 0586223323 , 0586223018 , Pardelli Riccardo , ,08:00,14:00,08:00,14:00,08:00,14:00,08:00,14:00,08:00,14:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 01/08/2017 ,,,,,,,,,,,,08:00,14:00,,,,,
SSD Dermatologia - Azienda USL Toscana Nord Ovest area di Lucca, Ambulatorio MTS Edificio D Cittadella della Salute ,Via Barbantini snc Lucca - LU , 0583970653 ,, Elisa Lorenzoni , ,,,,,,,08:00,13:00,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 30/11/2020 ,,,,,,,,,,,,,,,,,,
POLICLINICO LE SCOTTE - DIPARTIMENTO SCIENZE MEDICHE CHIRURGICHE E NEUROSCIENZE, Sezione di Dermatologia ,"Viale Bracci, 2 Siena - SI ", 0577585278 ,,, ,,,14:30,18:30,,,,,08:30,13:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 14/10/2020 ,,,,,Su Prenotazione,,,,Su Prenotazione,,,,,,,,,
OSPEDALE CENTRALE DI BOLZANO, Ambulatorio MTS - Padiglione W - Ambulatori Piano Terra- Area Nera ,Via Lorenzo Bohler Bolzano - BZ , 0471 909939 ,,, ,08:00,10:30,08:00,10:30,08:00,10:30,08:00,10:30,08:00,10:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 22/02/2019 ,Occorre prenotazione telefonica,,Occorre prenotazione telefonica,,Occorre prenotazione telefonica,,Occorre prenotazione telefonica,,Occorre prenotazione telefonica,,,,,,,,,
OSPEDALE F. TAPPEINER CENTRO MTS c/o DIVISIONE DI DERMATOLOGIA, Ambulatorio ,"Via G. Rossini, 1 Merano - BZ ", +39 0473251201 ,, Dott.ssa MA Gonzalez Inchaurraga , ,08:00,09:30,08:00,09:00,08:00,09:30,08:00,09:00,08:00,09:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 04/11/2020 ,,,,,,,,,,,,,,,,,,
PRESIDIO OSPEDALIERO VILLA IGEA, Ambulatorio MST 4° piano ambulatorio n. 6 / 7 ,Via Malta 16 Trento - TN , 0461/903582 ,,, ,08:00,12:30,08:00,12:30,08:00,12:30,08:00,12:30,08:00,12:30,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 15/10/2020 ,13:30,15:30,13:30,15:30,13:30,15:30,13:30,15:30,13:30,15:30,,,,,,,,
AZIENDA OSPEDALIERA - OSPEDALE S.M. DELLA MISERICORDIA," SC di Clinica Dermatologica, Blocco G, piano -1, Ospedale SM della Misericordia, Perugia ",Piazza Menghini 3 Perugia - PG ,,, Dr. Francesco Lanza , ,,,,,12:00,13:20,,,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 02/03/2020 ,,,,,,,,,,,,,,,,,,
OSPEDALE SAN MARTINO - USL 1, U.O. Di Dermatologia - IV Piano - Ambulatorio MTS ,Viale Europa 22 Belluno - BL , 0437/516345 ,,, ,,,,,,,,,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 23/06/2017 ,,,,,,,,,,,,,,,,,,
Ospedale Ca' Foncello- U.O.C. Dermatologia, Centro MTS ,Via Scarpa 2 Treviso - TV , 0422322517 , 0422322095 ,, ,08:30,14:00,08:30,14:00,08:30,14:00,08:30,14:00,08:30,14:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 16/11/2020 ,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,Previo appuntamento,09:00,11:00,Previo appuntamento,Previo appuntamento,Previo appuntamento,Previo appuntamento,Previo appuntamento
AMBULATORIO MTS," Servizio Igiene e Sanità Pubblica Dorsoduro, 1454 Venezia - VE ",, 0415295857 ,,, ,08:30,12:30,,,,,08:30,12:30,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 19/02/2019 ,,,,,,,,,,,,,,,,,,
AZIENDA OSPEDALIERA UNIV. INTEGRATA - OSP. CIV. MAGGIORE, Ambulatorio MST ,"Piazzale Stefani, 1 Verona - VR ", 045-8123348 ,, Paolo Rosina , ,08:00,09:00,08:00,09:00,08:00,09:00,08:00,09:00,08:00,09:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 15/10/2020 ,,,,,,,,,,,,,,,,,,
