cod_asl;cod_struttura;denom_struttura;indirizzo_ubicazione;cod_istat_comune_ubicazione;comune_ubicazione;prov_comune_ubicazione;denom_gestore;p_iva;indirizzo_sede_legale;cod_istat_comune_sede_legale;comune_sede_legale;prov_sede_legale;natura_giuridica;pubblica_privata;onlus;wgs84_x;wgs84_y;location/latitude;location/longitude;location/human_address;:@computed_region_6hky_swhk;:@computed_region_ttgh_9sm5
322;002674;SARONNO;VIA VARESE  196;012119;SARONNO;VA;ASST DELLA VALLE OLONA;03510190121;VIA ARNALDO DA BRESCIA 1;012026;BUSTO ARSIZIO;VA;ASST;PUBBLICO;NO;9.02151383;45.62877801;45.62877801;9.02151383;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";1;1
324;003041;NOA MONZA;VIA SOLFERINO  16;108033;MONZA;MB;ASST DI MONZA;09314290967;VIA GIOVANNI BATTISTA PERGOLESI 33;108033;MONZA;MB;ASST;PUBBLICO;NO;9.26605235;45.57776664;45.57776664;9.26605235;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";12;12
321;002571;SERT LODI;VIA PALLAVICINO  57/A;098031;LODI;LO;ASST DI LODI;09322180960;VIA ANTONIO FISSIRAGA 15;098031;LODI;LO;ASST;PUBBLICO;NO;9.50945189;45.31354181;45.31354181;9.50945189;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";11;11
321;032261;SER.D AREA PENALE PENITENZIARIA;CORSO ITALIA  52;015146;MILANO;MI;ASST SANTI PAOLO E CARLO;09321970965;VIA ANTONIO DI RUDINI' 8;015146;MILANO;MI;ASST;PUBBLICO;NO;9.18712314;45.4546597;45.4546597;9.18712314;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
322;002891;SERT SEDE EROGATIVA TOSSICO/ALCOL DIPENDENZE;VIA DEI CIPRESSI  11;013145;MENAGGIO;CO;ASST DELLA VALTELLINA E DELL'ALTO LARIO;00988090148;VIA STELVIO 25;014061;SONDRIO;SO;ASST;PUBBLICO;NO;9.24005246;46.02412579;46.02412579;9.24005246;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";2;2
324;003042;U.O. CARCERE;VIA SAN QUIRICO  6;108033;MONZA;MB;ASST DI MONZA;09314290967;VIA GIOVANNI BATTISTA PERGOLESI 33;108033;MONZA;MB;ASST;PUBBLICO;NO;;;;;;;
327;003403;UNITA' SEMPLICE SERT;VIA ROMANI  52;019021;CASALMAGGIORE;CR;ASST DI CREMONA;01629400191;VIALE CONCORDIA 1;019036;CREMONA;CR;ASST;PUBBLICO;NO;10.4153481;44.99093928;44.99093928;10.4153481;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";8;8
327;003456;SER.D. MANTOVA;VIA HROVATIN  2;020030;MANTOVA;MN;ASST DI MANTOVA;02481840201;STRADA LAGO PAIOLO 10;020030;MANTOVA;MN;ASST;PUBBLICO;NO;10.78104277;45.14641735;45.14641735;10.78104277;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";9;9
326;003312;UNITA' SEMPLICE CENTRO CLINICO COCAINOMANI;VIA LAMARMORA  56;017029;BRESCIA;BS;ASST DEGLI SPEDALI CIVILI DI BRESCIA;03775110988;PIAZZA SPEDALI CIVILI 1;017029;BRESCIA;BS;ASST;PUBBLICO;NO;10.20683984;45.52306472;45.52306472;10.20683984;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";6;6
324;003025;SERT LECCO;CORSO PROMESSI SPOSI  1;097042;LECCO;LC;ASST DI LECCO;03622120131;VIA DELL'EREMO 9/11;097042;LECCO;LC;ASST;PUBBLICO;NO;9.40278809;45.85439845;45.85439845;9.40278809;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";10;10
326;036226;UNITÀ SEMPLICE SERT;VIA ALESSANDRO LAMARMORA  56;017029;BRESCIA;BS;ASST DEGLI SPEDALI CIVILI DI BRESCIA;03775110988;PIAZZA SPEDALI CIVILI 1;017029;BRESCIA;BS;ASST;PUBBLICO;NO;10.20683984;45.52306472;45.52306472;10.20683984;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";6;6
321;003576;SERT TRATTAMENTO AVANZATO;VIA CONCA DEL NAVIGLIO  45;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.17748258;45.4544012;45.4544012;9.17748258;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
327;003413;SER.T. CASTIGLIONE DELLE STIVIERE;VIA ORDANINO  11;020017;CASTIGLIONE DELLE STIVIERE;MN;ASST DI MANTOVA;02481840201;STRADA LAGO PAIOLO 10;020030;MANTOVA;MN;ASST;PUBBLICO;NO;10.4909119;45.39116463;45.39116463;10.4909119;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";9;9
326;003364;NOA LENO;PIAZZA DONATORI DI SANGUE  1;017088;LENO;BS;ASST DEL GARDA;03775660982;LOCALITA' MONTECROCE SNC;017067;DESENZANO DEL GARDA;BS;ASST;PUBBLICO;NO;10.21740019;45.36592235;45.36592235;10.21740019;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";6;6
321;002357;NUCLEO OPERATIVO ALCOLOGIA;PIAZZA BARBARA CAZZAMINI MUSSI  1;015002;ABBIATEGRASSO;MI;ASST OVEST MILANESE;09319650967;VIA PAPA GIOVANNI PAOLO II 3;015118;LEGNANO;MI;ASST;PUBBLICO;NO;8.91434847;45.39513974;45.39513974;8.91434847;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
326;003252;NOA VALTROMPIA;PIAZZALE EUROPA  16;017174;SAREZZO;BS;ASST DEGLI SPEDALI CIVILI DI BRESCIA;03775110988;PIAZZA SPEDALI CIVILI 1;017029;BRESCIA;BS;ASST;PUBBLICO;NO;10.20162019;45.64881806;45.64881806;10.20162019;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";6;6
325;003215;SER.D TREVIGLIO;VIALE XXV APRILE  6;016219;TREVIGLIO;BG;ASST DI BERGAMO OVEST;04114450168;PIAZZALE OSPEDALE 1;016219;TREVIGLIO;BG;ASST;PUBBLICO;NO;9.59073599;45.52083019;45.52083019;9.59073599;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";5;5
327;003447;SER.T. VIADANA;LARGO DE GASPERI  11;020066;VIADANA;MN;ASST DI MANTOVA;02481840201;STRADA LAGO PAIOLO 10;020030;MANTOVA;MN;ASST;PUBBLICO;NO;10.52273062;44.9255037;44.9255037;10.52273062;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";9;9
321;002521;SERVIZIO TERRITORIALE DI ALCOLOGIA E COMPORTAMENTI DI ADDICTION;VIA BELLINI  5;015108;GORGONZOLA;MI;ASST MELEGNANO E DELLA MARTESANA;09320650964;VIA PANDINA 1;015244;VIZZOLO PREDABISSI;MI;ASST;PUBBLICO;NO;9.41378544;45.53390363;45.53390363;9.41378544;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
322;002592;VARESE;VIA OTTORINO ROSSI  9;012133;VARESE;VA;ASST DEI SETTE LAGHI;03510050127;VIALE LUIGI BORRI 57;012133;VARESE;VA;ASST;PUBBLICO;NO;8.84697955;45.79940607;45.79940607;8.84697955;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";1;1
321;002346;SER.T. PARABIAGO;VIA DON GIOVANNI SPAGLIARDI  19;015168;PARABIAGO;MI;ASST OVEST MILANESE;09319650967;VIA PAPA GIOVANNI PAOLO II 3;015118;LEGNANO;MI;ASST;PUBBLICO;NO;8.9516025;45.5588643;45.5588643;8.9516025;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
326;003320;SERT ROVATO;VIA LOMBARDIA  31/A;017166;ROVATO;BS;ASST DELLA FRANCIACORTA;03775820982;VIALE MAZZINI 4;017052;CHIARI;BS;ASST;PUBBLICO;NO;10.00570161;45.5521778;45.5521778;10.00570161;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";6;6
321;002544;NOA DI SAN GIULIANO MILANESE;VIA CAMILLO BENSO CONTE DI CAVOUR  1;015195;SAN GIULIANO MILANESE;MI;ASST MELEGNANO E DELLA MARTESANA;09320650964;VIA PANDINA 1;015244;VIZZOLO PREDABISSI;MI;ASST;PUBBLICO;NO;9.28464713;45.39959534;45.39959534;9.28464713;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
321;003572;SERT CONCA DEL NAVIGLIO;VIA CONCA DEL NAVIGLIO  45;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.17748258;45.4544012;45.4544012;9.17748258;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
321;004780;SERT VIA ALBENGA;VIA ALBENGA  2/4;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.11982515;45.47372874;45.47372874;9.11982515;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
326;003308;NOA BRESCIA;VIA GHEDI  4;017029;BRESCIA;BS;ASST DEGLI SPEDALI CIVILI DI BRESCIA;03775110988;PIAZZA SPEDALI CIVILI 1;017029;BRESCIA;BS;ASST;PUBBLICO;NO;;;;;;;
326;003371;SER.T MONTICHIARI;VIA FALCONE  20;017113;MONTICHIARI;BS;ASST DEL GARDA;03775660982;LOCALITA' MONTECROCE SNC;017067;DESENZANO DEL GARDA;BS;ASST;PUBBLICO;NO;10.40612;45.41194486;45.41194486;10.40612;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";6;6
321;002480;SERT CINISELLO/SESTO SG;VIA ALDO BERETTA  1;015077;CINISELLO BALSAMO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.22444159;45.55593769;45.55593769;9.22444159;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
322;002664;BUSTO ARSIZIO;VIA NOVARA  48;012026;BUSTO ARSIZIO;VA;ASST DELLA VALLE OLONA;03510190121;VIA ARNALDO DA BRESCIA 1;012026;BUSTO ARSIZIO;VA;ASST;PUBBLICO;NO;8.84767921;45.58499287;45.58499287;8.84767921;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";1;1
321;032442;U.O.C. DIPENDENZE DELL'ASST FATEBENEFRATELLI SACCO;VIA STEFANO CANZIO  18;015146;MILANO;MI;ASST FATEBENEFRATELLI SACCO;09319690963;VIA GIOVANNI BATTISTA GRASSI 74;015146;MILANO;MI;ASST;PUBBLICO;NO;9.21925925;45.48520055;45.48520055;9.21925925;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
324;003146;NOA VIMERCATE;VIA RONCHI  6;108050;VIMERCATE;MB;ASST DI VIMERCATE;09314320962;VIA SANTI COSMA E DAMIANO 10;108050;VIMERCATE;MB;ASST;PUBBLICO;NO;9.36522865;45.61317335;45.61317335;9.36522865;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";12;12
321;002528;SERT DI  GORGONZOLA;VIA BELLINI;015108;GORGONZOLA;MI;ASST MELEGNANO E DELLA MARTESANA;09320650964;VIA PANDINA 1;015244;VIZZOLO PREDABISSI;MI;ASST;PUBBLICO;NO;9.41378544;45.53390363;45.53390363;9.41378544;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
321;003574;SERT PENALE MINORILE;CORSO ITALIA  52;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.18712314;45.4546597;45.4546597;9.18712314;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
325;003158;SER.D BERGAMO;VIA BORGO PALAZZO  130;016024;BERGAMO;BG;ASST PAPA GIOVANNI XXIII;04114370168;PIAZZA OMS 1;016024;BERGAMO;BG;ASST;PUBBLICO;NO;9.69697363;45.69233059;45.69233059;9.69697363;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";5;5
327;003464;SER.T. OSTIGLIA;VIA BELFANTI  1;020038;OSTIGLIA;MN;ASST DI MANTOVA;02481840201;STRADA LAGO PAIOLO 10;020030;MANTOVA;MN;ASST;PUBBLICO;NO;11.13539695;45.06399489;45.06399489;11.13539695;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";9;9
321;032241;SER.D TERRITORIALE STRUTTURA COMPLESSA;VIA EMILIO GOLA  24;015146;MILANO;MI;ASST SANTI PAOLO E CARLO;09321970965;VIA ANTONIO DI RUDINI' 8;015146;MILANO;MI;ASST;PUBBLICO;NO;9.17300127;45.44889267;45.44889267;9.17300127;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
323;002904;SER.T DISTRETTO DI SONDRIO;VIA STELVIO  35;014061;SONDRIO;SO;ASST DELLA VALTELLINA E DELL'ALTO LARIO;00988090148;VIA STELVIO 25;014061;SONDRIO;SO;ASST;PUBBLICO;NO;9.89511083;46.17029221;46.17029221;9.89511083;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";3;3
321;002503;SERT DI TREZZO SULL'ADDA;VIA GRAMSCI  21/23;015221;TREZZO SULL'ADDA;MI;ASST MELEGNANO E DELLA MARTESANA;09320650964;VIA PANDINA 1;015244;VIZZOLO PREDABISSI;MI;ASST;PUBBLICO;NO;9.51850686;45.60741859;45.60741859;9.51850686;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
322;002697;SERT SEDE EROGATIVA TOSSICO/ALCOL DIPENDENZE;VIA CADORNA  8/10;013075;COMO;CO;ASST LARIANA;03622110132;VIA NAPOLEONA 60;013075;COMO;CO;ASST;PUBBLICO;NO;9.08444861;45.80465152;45.80465152;9.08444861;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";2;2
326;003339;SERT ORZINUOVI;VIALE MARCONI  27;017125;ORZINUOVI;BS;ASST DELLA FRANCIACORTA;03775820982;VIALE MAZZINI 4;017052;CHIARI;BS;ASST;PUBBLICO;NO;9.92592116;45.40547691;45.40547691;9.92592116;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";6;6
328;003542;U.O.S SER.T PAVIA;PIAZZALE GOLGI  3;018110;PAVIA;PV;ASST DI PAVIA;02613080189;VIALE DELLA REPUBBLICA 34;018110;PAVIA;PV;ASST;PUBBLICO;NO;9.14947886;45.19560639;45.19560639;9.14947886;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";7;7
321;003583;SERT SAN VITTORE;VIA CONCA DEL NAVIGLIO  45;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.17748258;45.4544012;45.4544012;9.17748258;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
321;002510;SERT VIZZOLO PREDABISSI;VIA PANDINA  1;015244;VIZZOLO PREDABISSI;MI;ASST MELEGNANO E DELLA MARTESANA;09320650964;VIA PANDINA 1;015244;VIZZOLO PREDABISSI;MI;ASST;PUBBLICO;NO;9.34398088;45.36055705;45.36055705;9.34398088;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
321;003573;SERT OPERA;VIA CONCA DEL NAVIGLIO  45;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.17748258;45.4544012;45.4544012;9.17748258;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
327;003445;SER.T. SUZZARA;VIA CADORNA  2;020065;SUZZARA;MN;ASST DI MANTOVA;02481840201;STRADA LAGO PAIOLO 10;020030;MANTOVA;MN;ASST;PUBBLICO;NO;10.74423811;44.98813418;44.98813418;10.74423811;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";9;9
321;002433;SER.T. RHO/ CORSICO;VIA GIUSEPPE CASATI  45;015182;RHO;MI;ASST RHODENSE;09323530965;VIALE CARLO FORLANINI 95;015105;GARBAGNATE MILANESE;MI;ASST;PUBBLICO;NO;9.0455513;45.54866251;45.54866251;9.0455513;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
321;004842;SERT SUZZANI;VIALE GIOVANNI SUZZANI  239;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.20638623;45.52294259;45.52294259;9.20638623;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4